retriever,chunk_size,relevance_level,metric,num_questions,observed,ci_lower,ci_upper,ci_width
dense,200,paper,recall@1,30,0.800000,0.633333,0.933333,0.300000
dense,200,paper,recall@3,30,0.966667,0.900000,1.000000,0.100000
dense,200,paper,recall@5,30,0.966667,0.900000,1.000000,0.100000
dense,200,paper,mrr,30,0.872222,0.766528,0.961111,0.194583
dense,200,page,recall@1,30,0.200000,0.066667,0.334167,0.267500
dense,200,page,recall@3,30,0.700000,0.533333,0.866667,0.333333
dense,200,page,recall@5,30,0.700000,0.533333,0.866667,0.333333
dense,200,page,mrr,30,0.433333,0.310972,0.566667,0.255694
dense,400,paper,recall@1,30,0.833333,0.700000,0.966667,0.266667
dense,400,paper,recall@3,30,0.966667,0.900000,1.000000,0.100000
dense,400,paper,recall@5,30,1.000000,1.000000,1.000000,0.000000
dense,400,paper,mrr,30,0.908333,0.825000,0.983333,0.158333
dense,400,page,recall@1,30,0.300000,0.133333,0.466667,0.333333
dense,400,page,recall@3,30,0.600000,0.433333,0.766667,0.333333
dense,400,page,recall@5,30,0.666667,0.500000,0.833333,0.333333
dense,400,page,mrr,30,0.461111,0.308333,0.608333,0.300000
dense,800,paper,recall@1,30,0.633333,0.433333,0.800000,0.366667
dense,800,paper,recall@3,30,0.866667,0.733333,0.966667,0.233333
dense,800,paper,recall@5,30,1.000000,1.000000,1.000000,0.000000
dense,800,paper,mrr,30,0.763333,0.657208,0.867847,0.210639
dense,800,page,recall@1,30,0.333333,0.166667,0.500833,0.334167
dense,800,page,recall@3,30,0.566667,0.400000,0.733333,0.333333
dense,800,page,recall@5,30,0.600000,0.433333,0.766667,0.333333
dense,800,page,mrr,30,0.452778,0.302778,0.616667,0.313889
bm25,200,paper,recall@1,30,0.766667,0.600000,0.900000,0.300000
bm25,200,paper,recall@3,30,0.800000,0.666667,0.933333,0.266667
bm25,200,paper,recall@5,30,0.933333,0.833333,1.000000,0.166667
bm25,200,paper,mrr,30,0.813333,0.686625,0.925000,0.238375
bm25,200,page,recall@1,30,0.366667,0.200000,0.533333,0.333333
bm25,200,page,recall@3,30,0.633333,0.466667,0.800000,0.333333
bm25,200,page,recall@5,30,0.700000,0.533333,0.866667,0.333333
bm25,200,page,mrr,30,0.487222,0.323306,0.637222,0.313917
bm25,400,paper,recall@1,30,0.733333,0.566667,0.900000,0.333333
bm25,400,paper,recall@3,30,0.833333,0.700000,0.966667,0.266667
bm25,400,paper,recall@5,30,0.966667,0.900000,1.000000,0.100000
bm25,400,paper,mrr,30,0.809444,0.691111,0.919514,0.228403
bm25,400,page,recall@1,30,0.300000,0.133333,0.466667,0.333333
bm25,400,page,recall@3,30,0.666667,0.500000,0.833333,0.333333
bm25,400,page,recall@5,30,0.866667,0.733333,0.966667,0.233333
bm25,400,page,mrr,30,0.500000,0.372222,0.619514,0.247292
bm25,800,paper,recall@1,30,0.833333,0.700000,0.933333,0.233333
bm25,800,paper,recall@3,30,0.933333,0.833333,1.000000,0.166667
bm25,800,paper,recall@5,30,0.966667,0.900000,1.000000,0.100000
bm25,800,paper,mrr,30,0.880556,0.769375,0.966667,0.197292
bm25,800,page,recall@1,30,0.366667,0.200000,0.533333,0.333333
bm25,800,page,recall@3,30,0.800000,0.633333,0.933333,0.300000
bm25,800,page,recall@5,30,0.833333,0.700000,0.933333,0.233333
bm25,800,page,mrr,30,0.536111,0.400000,0.672222,0.272222
