retriever,relevance_level,metric,comparison,condition_a,condition_b,num_questions,observed_difference,ci_lower,ci_upper,ci_width,interpretation
dense,paper,recall@1,400-word vs 200-word,200-word,400-word,30,0.033333,-0.066667,0.166667,0.233333,NO_CLEAR_DIFFERENCE
dense,paper,recall@1,800-word vs 400-word,400-word,800-word,30,-0.200000,-0.333333,-0.066667,0.266667,A_HIGHER_SUPPORTED
dense,paper,recall@1,800-word vs 200-word,200-word,800-word,30,-0.166667,-0.333333,0.000000,0.333333,NO_CLEAR_DIFFERENCE
dense,paper,recall@3,400-word vs 200-word,200-word,400-word,30,0.000000,0.000000,0.000000,0.000000,NO_CLEAR_DIFFERENCE
dense,paper,recall@3,800-word vs 400-word,400-word,800-word,30,-0.100000,-0.266667,0.033333,0.300000,NO_CLEAR_DIFFERENCE
dense,paper,recall@3,800-word vs 200-word,200-word,800-word,30,-0.100000,-0.233333,0.033333,0.266667,NO_CLEAR_DIFFERENCE
dense,paper,recall@5,400-word vs 200-word,200-word,400-word,30,0.033333,0.000000,0.100000,0.100000,NO_CLEAR_DIFFERENCE
dense,paper,recall@5,800-word vs 400-word,400-word,800-word,30,0.000000,0.000000,0.000000,0.000000,NO_CLEAR_DIFFERENCE
dense,paper,recall@5,800-word vs 200-word,200-word,800-word,30,0.033333,0.000000,0.100000,0.100000,NO_CLEAR_DIFFERENCE
dense,paper,mrr,400-word vs 200-word,200-word,400-word,30,0.036111,-0.022222,0.097222,0.119444,NO_CLEAR_DIFFERENCE
dense,paper,mrr,800-word vs 400-word,400-word,800-word,30,-0.145000,-0.243889,-0.057222,0.186667,A_HIGHER_SUPPORTED
dense,paper,mrr,800-word vs 200-word,200-word,800-word,30,-0.108889,-0.217264,-0.006069,0.211194,A_HIGHER_SUPPORTED
dense,page,recall@1,400-word vs 200-word,200-word,400-word,30,0.100000,-0.100000,0.300000,0.400000,NO_CLEAR_DIFFERENCE
dense,page,recall@1,800-word vs 400-word,400-word,800-word,30,0.033333,-0.167500,0.233333,0.400833,NO_CLEAR_DIFFERENCE
dense,page,recall@1,800-word vs 200-word,200-word,800-word,30,0.133333,-0.100000,0.366667,0.466667,NO_CLEAR_DIFFERENCE
dense,page,recall@3,400-word vs 200-word,200-word,400-word,30,-0.100000,-0.266667,0.066667,0.333333,NO_CLEAR_DIFFERENCE
dense,page,recall@3,800-word vs 400-word,400-word,800-word,30,-0.033333,-0.233333,0.200000,0.433333,NO_CLEAR_DIFFERENCE
dense,page,recall@3,800-word vs 200-word,200-word,800-word,30,-0.133333,-0.300000,0.033333,0.333333,NO_CLEAR_DIFFERENCE
dense,page,recall@5,400-word vs 200-word,200-word,400-word,30,-0.033333,-0.200833,0.133333,0.334167,NO_CLEAR_DIFFERENCE
dense,page,recall@5,800-word vs 400-word,400-word,800-word,30,-0.066667,-0.266667,0.100000,0.366667,NO_CLEAR_DIFFERENCE
dense,page,recall@5,800-word vs 200-word,200-word,800-word,30,-0.100000,-0.266667,0.066667,0.333333,NO_CLEAR_DIFFERENCE
dense,page,mrr,400-word vs 200-word,200-word,400-word,30,0.027778,-0.125069,0.169444,0.294514,NO_CLEAR_DIFFERENCE
dense,page,mrr,800-word vs 400-word,400-word,800-word,30,-0.008333,-0.211181,0.155625,0.366806,NO_CLEAR_DIFFERENCE
dense,page,mrr,800-word vs 200-word,200-word,800-word,30,0.019444,-0.152847,0.191667,0.344514,NO_CLEAR_DIFFERENCE
bm25,paper,recall@1,400-word vs 200-word,200-word,400-word,30,-0.033333,-0.100000,0.000000,0.100000,NO_CLEAR_DIFFERENCE
bm25,paper,recall@1,800-word vs 400-word,400-word,800-word,30,0.100000,0.000000,0.200000,0.200000,NO_CLEAR_DIFFERENCE
bm25,paper,recall@1,800-word vs 200-word,200-word,800-word,30,0.066667,0.000000,0.166667,0.166667,NO_CLEAR_DIFFERENCE
bm25,paper,recall@3,400-word vs 200-word,200-word,400-word,30,0.033333,-0.066667,0.166667,0.233333,NO_CLEAR_DIFFERENCE
bm25,paper,recall@3,800-word vs 400-word,400-word,800-word,30,0.100000,0.000000,0.233333,0.233333,NO_CLEAR_DIFFERENCE
bm25,paper,recall@3,800-word vs 200-word,200-word,800-word,30,0.133333,0.033333,0.266667,0.233333,B_HIGHER_SUPPORTED
bm25,paper,recall@5,400-word vs 200-word,200-word,400-word,30,0.033333,0.000000,0.100000,0.100000,NO_CLEAR_DIFFERENCE
bm25,paper,recall@5,800-word vs 400-word,400-word,800-word,30,0.000000,0.000000,0.000000,0.000000,NO_CLEAR_DIFFERENCE
bm25,paper,recall@5,800-word vs 200-word,200-word,800-word,30,0.033333,0.000000,0.100000,0.100000,NO_CLEAR_DIFFERENCE
bm25,paper,mrr,400-word vs 200-word,200-word,400-word,30,-0.003889,-0.053889,0.037792,0.091681,NO_CLEAR_DIFFERENCE
bm25,paper,mrr,800-word vs 400-word,400-word,800-word,30,0.071111,0.004444,0.145028,0.140583,B_HIGHER_SUPPORTED
bm25,paper,mrr,800-word vs 200-word,200-word,800-word,30,0.067222,0.008333,0.146667,0.138333,B_HIGHER_SUPPORTED
bm25,page,recall@1,400-word vs 200-word,200-word,400-word,30,-0.066667,-0.233333,0.100000,0.333333,NO_CLEAR_DIFFERENCE
bm25,page,recall@1,800-word vs 400-word,400-word,800-word,30,0.066667,-0.133333,0.266667,0.400000,NO_CLEAR_DIFFERENCE
bm25,page,recall@1,800-word vs 200-word,200-word,800-word,30,0.000000,-0.166667,0.200000,0.366667,NO_CLEAR_DIFFERENCE
bm25,page,recall@3,400-word vs 200-word,200-word,400-word,30,0.033333,-0.133333,0.200000,0.333333,NO_CLEAR_DIFFERENCE
bm25,page,recall@3,800-word vs 400-word,400-word,800-word,30,0.133333,-0.033333,0.300000,0.333333,NO_CLEAR_DIFFERENCE
bm25,page,recall@3,800-word vs 200-word,200-word,800-word,30,0.166667,0.000000,0.333333,0.333333,NO_CLEAR_DIFFERENCE
bm25,page,recall@5,400-word vs 200-word,200-word,400-word,30,0.166667,0.033333,0.300000,0.266667,B_HIGHER_SUPPORTED
bm25,page,recall@5,800-word vs 400-word,400-word,800-word,30,-0.033333,-0.166667,0.066667,0.233333,NO_CLEAR_DIFFERENCE
bm25,page,recall@5,800-word vs 200-word,200-word,800-word,30,0.133333,-0.033333,0.300000,0.333333,NO_CLEAR_DIFFERENCE
bm25,page,mrr,400-word vs 200-word,200-word,400-word,30,0.012778,-0.105556,0.140556,0.246111,NO_CLEAR_DIFFERENCE
bm25,page,mrr,800-word vs 400-word,400-word,800-word,30,0.036111,-0.111111,0.180556,0.291667,NO_CLEAR_DIFFERENCE
bm25,page,mrr,800-word vs 200-word,200-word,800-word,30,0.048889,-0.083333,0.191722,0.275056,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@1,Dense vs BM25,BM25,Dense,30,0.033333,-0.100000,0.200000,0.300000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@3,Dense vs BM25,BM25,Dense,30,0.166667,0.033333,0.333333,0.300000,B_HIGHER_SUPPORTED
dense_vs_bm25,paper,recall@5,Dense vs BM25,BM25,Dense,30,0.033333,-0.066667,0.166667,0.233333,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,mrr,Dense vs BM25,BM25,Dense,30,0.058889,-0.049444,0.171111,0.220556,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@1,Dense vs BM25,BM25,Dense,30,-0.166667,-0.400000,0.066667,0.466667,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@3,Dense vs BM25,BM25,Dense,30,0.066667,-0.133333,0.266667,0.400000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,recall@5,Dense vs BM25,BM25,Dense,30,0.000000,-0.200000,0.200000,0.400000,NO_CLEAR_DIFFERENCE
dense_vs_bm25,page,mrr,Dense vs BM25,BM25,Dense,30,-0.053889,-0.241722,0.128361,0.370083,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@1,Dense vs BM25,BM25,Dense,30,0.100000,-0.033333,0.233333,0.266667,NO_CLEAR_DIFFERENCE
dense_vs_bm25,paper,recall@3,Dense vs BM25,BM25,Dense,30,0.133333,0.033333,0.266667,0.233333,B_HIGHER_SUPPORTED
