chunk_size,metric,dense,bm25,dense_minus_bm25
200,recall_at_1_page,0.2000,0.3667,-0.1667
200,recall_at_3_page,0.7000,0.6333,0.0667
200,recall_at_5_page,0.7000,0.7000,0.0000
200,mrr_page,0.4333,0.4872,-0.0539
400,recall_at_1_page,0.3000,0.3000,0.0000
400,recall_at_3_page,0.6000,0.6667,-0.0667
400,recall_at_5_page,0.6667,0.8667,-0.2000
400,mrr_page,0.4611,0.5000,-0.0389
800,recall_at_1_page,0.3333,0.3667,-0.0334
800,recall_at_3_page,0.5667,0.8000,-0.2333
800,recall_at_5_page,0.6000,0.8333,-0.2333
800,mrr_page,0.4528,0.5361,-0.0833
